,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,Faceoffs Won,Faceoffs Lost,Faceoffs %
648,Christoffer Ehn,DET,C,46,454.7666667,2,5,1,4,7,63.64,34,5.88,51,56,47.66
691,Oliver Kylington,CGY,D,36,440.45,3,4,1,3,7,58.33,18,16.67,0,0,-
696,Brandon Carlo,BOS,D,59,1227.766667,1,6,4,2,7,17.95,94,1.06,0,0,-
724,Markus Hannikainen,CBJ,L,43,405.6666667,4,3,2,1,7,70,50,8,0,3,0
734,Christian Wolanin,OTT,D,18,285.6833333,3,4,0,4,7,36.84,21,14.29,0,0,-
738,Rudolfs Balcers,OTT,L,24,275.15,4,3,1,2,7,87.5,33,12.12,1,1,50
806,Trevor Moore,TOR,L,13,116.35,1,6,2,4,7,87.5,9,11.11,0,0,-
825,Max Comtois,ANA,L,10,145.9,2,5,3,2,7,87.5,9,22.22,3,8,27.27
843,Sean Walker,L.A,D,30,454.3833333,2,5,3,2,7,36.84,42,4.76,0,0,-
859,Igor Ozhiganov,TOR,D,46,659.7166667,3,4,2,2,7,26.92,36,8.33,0,0,-
42,Corey Perry,ANA,R,18,284.8666667,3,3,3,0,6,85.71,37,8.11,0,0,-
111,Trevor Lewis,L.A,C,30,407.3,2,4,2,2,6,60,58,3.45,45,51,46.88
159,Brandon Sutter,VAN,C,26,454.15,4,2,1,1,6,50,43,9.3,224,238,48.48
247,Dmitry Kulikov,WPG,D,42,620.95,0,6,3,3,6,22.22,27,0,0,0,-
270,Garrett Wilson,PIT,L,36,275.6666667,1,5,3,2,6,66.67,34,2.94,1,3,25
273,Gabriel Bourque,COL,L,42,415.9666667,1,5,5,0,6,50,24,4.17,7,9,43.75
354,Kevan Miller,BOS,D,36,646.05,0,6,2,4,6,27.27,32,0,0,0,-
362,Lukas Sedlak,CBJ,C,44,397.55,4,2,1,1,6,50,41,9.76,42,44,48.84
370,Fredrik Claesson,NYR,D,30,519.8333333,2,4,3,1,6,37.5,35,5.71,0,0,-
372,Nick Seeler,MIN,D,62,767.5166667,2,4,1,3,6,25,63,3.17,0,0,-
395,Brett Ritchie,DAL,R,45,442.2666667,4,2,0,2,6,50,46,8.7,2,5,28.57
423,Joe Morrow,WPG,D,39,542.3166667,1,5,3,2,6,21.43,40,2.5,0,0,-
435,J.T. Brown,MIN,R,44,397.25,2,4,2,2,6,42.86,45,4.44,4,11,26.67
485,Connor Carrick,"DAL, N.J",D,21,311.5666667,1,5,2,3,6,85.71,25,4,0,0,-
536,Peter Cehlarik,BOS,L,18,229.4666667,4,2,1,1,6,60,26,15.38,0,5,0
558,Carl Dahlstrom,CHI,D,31,572.5,0,6,2,4,6,18.18,36,0,0,0,-
585,Jean-Sebastien Dea,"N.J, PIT",C,23,235.8833333,4,2,0,2,6,85.71,29,13.79,53,51,50.96
641,Juho Lammikko,FLA,R,40,437.2666667,0,6,5,1,6,66.67,39,0,142,190,42.77
661,Dylan Sikura,CHI,R,22,222.35,0,6,5,1,6,60,30,0,0,3,0
666,Andrew Mangiapane,CGY,L,30,296.4166667,3,3,1,2,6,60,41,7.32,5,2,71.43
700,Caleb Jones,EDM,D,17,336.55,1,5,2,3,6,46.15,21,4.76,0,0,-
753,Kevin Rooney,N.J,C,28,326.9,4,2,1,1,6,60,23,17.39,107,115,48.2
805,Alexandre Fortin,CHI,L,24,254.1833333,3,3,2,1,6,75,29,10.34,11,6,64.71
840,Jan Rutta,"CHI, T.B",D,24,383.9833333,2,4,2,2,6,35.29,24,8.33,0,0,-
842,Sheldon Dries,COL,C,40,362.95,3,3,2,1,6,60,44,6.82,66,65,50.38
858,Lawrence Pilut,BUF,D,25,429.9333333,1,5,3,2,6,33.33,25,4,0,0,-
863,Egor Yakovlev,N.J,D,21,318.45,2,4,2,2,6,54.55,21,9.52,0,0,-
26,Jonathan Ericsson,DET,D,48,849.8,3,2,1,1,5,20,42,7.14,0,0,-
32,Dion Phaneuf,L.A,D,59,879.45,1,4,1,3,5,18.52,69,1.45,0,0,-
90,Adam McQuaid,"CBJ, NYR",D,41,688.9166667,2,3,2,1,5,19.23,20,10,0,0,-
113,Jamie McGinn,FLA,L,10,107.0333333,2,3,3,0,5,83.33,12,16.67,0,0,-
179,Micheal Haley,"FLA, S.J",C,32,248.4666667,1,4,2,2,5,62.5,24,4.17,13,13,50
215,Greg Pateryn,MIN,D,67,1135.883333,0,5,4,1,5,13.16,81,0,0,1,0
289,Matt Irwin,NSH,D,36,415.4833333,1,4,2,2,5,27.78,44,2.27,0,0,-
333,Michael Chaput,MTL,C,32,359.1333333,0,5,3,2,5,50,31,0,124,120,50.82
351,Ben Street,ANA,C,21,253.4166667,3,2,2,0,5,83.33,19,15.79,16,27,37.21
471,Mackenzie MacEachern,STL,L,25,201.9,3,2,1,1,5,83.33,32,9.38,0,0,-
480,Martin Frk,DET,R,25,210.2166667,1,4,3,1,5,62.5,21,4.76,0,0,-
486,Charles Hudon,MTL,L,32,373.5333333,3,2,1,1,5,45.45,50,6,4,5,44.44
508,Joakim Ryan,S.J,D,34,423.4333333,0,5,0,5,5,20,28,0,0,0,-
512,Tim Schaller,VAN,C,36,397.9,0,5,4,1,5,45.45,32,0,1,1,50
529,John Hayden,CHI,R,50,461.2333333,3,2,1,1,5,38.46,38,7.89,6,19,24
541,Ryan Graves,COL,D,21,254.0833333,3,2,1,1,5,35.71,23,13.04,0,0,-
607,Michael Dal Colle,NYI,L,23,272.65,2,3,3,0,5,45.45,23,8.7,0,1,0
623,Robby Fabbri,STL,C,29,371.7166667,2,3,2,1,5,29.41,38,5.26,4,10,28.57
636,Vladislav Kamenev,COL,C,23,207.9,2,3,1,2,5,50,22,9.09,59,59,50
701,Noah Juulsen,MTL,D,21,359.4166667,1,4,0,4,5,26.32,22,4.55,0,0,-
751,Casey Nelson,BUF,D,25,366.7666667,1,4,1,3,5,35.71,22,4.55,0,0,-
770,Dillon Dube,CGY,C,23,227.9833333,1,4,0,4,5,55.56,22,4.55,15,24,38.46
778,Josh Mahura,ANA,D,17,243.1666667,1,4,2,2,5,41.67,20,5,0,0,-
809,Gavin Bayreuther,DAL,D,19,345.5833333,2,3,2,1,5,35.71,25,8,0,0,-
829,Lias Andersson,NYR,C,29,298.8,1,4,2,2,5,71.43,31,3.23,46,62,42.59
861,Juuso Riikola,PIT,D,37,617.3333333,2,3,1,2,5,19.23,43,4.65,0,0,-
15,Dan Hamhuis,NSH,D,53,862.45,0,4,1,3,4,15.38,34,0,0,0,-
121,Patrik Berglund,BUF,C,23,299.9833333,2,2,1,1,4,57.14,25,8,68,48,58.62
155,Thomas Hickey,NYI,D,33,624.75,0,4,2,2,4,14.29,37,0,0,0,-
207,Michael Stone,CGY,D,11,176.3,0,4,2,2,4,57.14,10,0,0,0,-
216,Mark Borowiecki,OTT,D,45,690.2833333,1,3,2,1,4,18.18,49,2.04,0,0,-
284,Brandon Manning,"CHI, EDM",D,39,578.8,2,2,1,1,4,20,33,6.06,0,0,-
294,Martin Marincin,TOR,D,15,225.7166667,0,4,1,3,4,50,22,0,0,1,0
381,Alan Quine,CGY,C,9,85.05,3,1,0,1,4,100,6,50,7,8,46.67
430,Tomas Hyka,VGK,R,17,200.0166667,1,3,1,2,4,36.36,22,4.55,1,1,50
445,Phillip Di Giuseppe,"CAR, NSH",L,24,243.25,1,3,1,2,4,57.14,31,3.23,3,2,60
461,Slater Koekkoek,"CHI, T.B",D,24,368.7833333,1,3,2,1,4,21.05,33,3.03,0,0,-
482,Teddy Blueger,PIT,C,14,130.4833333,3,1,1,0,4,80,15,20,8,9,47.06
498,Paul LaDue,L.A,D,26,340.9,2,2,1,1,4,30.77,25,8,0,0,-
551,Valentin Zykov,"CAR, EDM, VGK",L,24,235.0666667,1,3,1,2,4,57.14,25,4,2,7,22.22
586,Ross Johnston,NYI,L,17,134.55,1,3,2,1,4,57.14,12,8.33,0,1,0
590,Josh Currie,EDM,R,10,99.11666667,2,2,2,0,4,66.67,10,20,1,2,33.33
595,Christian Folin,"MTL, PHI",D,32,500.25,0,4,1,3,4,14.29,30,0,1,0,100
599,Frederick Gaudreau,NSH,C,51,459.45,3,1,1,0,4,30.77,39,7.69,148,162,47.74
616,Julius Honka,DAL,D,29,397.6833333,0,4,4,0,4,23.53,38,0,0,1,0
660,Sammy Blais,STL,L,31,303.4666667,2,2,2,0,4,33.33,24,8.33,1,1,50
665,Dryden Hunt,FLA,L,21,221.6833333,0,4,2,2,4,44.44,36,0,0,3,0
674,Jonas Siegenthaler,WSH,D,25,349.8833333,0,4,2,2,4,28.57,12,0,0,0,-
716,Jacob Larsson,ANA,D,40,650.3,0,4,2,2,4,23.53,45,0,0,0,-
718,Denis Gurianov,DAL,R,21,228.3166667,1,3,1,2,4,66.67,23,4.35,1,1,50
727,Andreas Martinsen,CHI,L,24,190.4333333,1,3,3,0,4,66.67,21,4.76,3,4,42.86
745,Sami Niku,WPG,D,20,272.95,1,3,0,3,4,40,14,7.14,0,0,-
771,Sam Steel,ANA,C,16,231.35,1,3,3,0,4,66.67,21,4.76,81,81,50
864,Ilya Lyubushkin,ARI,D,38,515.1833333,0,4,3,1,4,28.57,26,0,0,0,-
140,Steven Kampfer,BOS,D,25,364.1833333,2,1,0,1,3,33.33,23,8.7,0,0,-
178,Jason Demers,ARI,D,21,408.7333333,1,2,1,1,3,25,23,4.35,0,0,-
206,Jori Lehtera,PHI,C,27,246,1,2,1,1,3,50,17,5.88,79,67,54.11
222,Zac Rinaldo,NSH,"C, L",23,163.8666667,1,2,2,0,3,75,11,9.09,1,4,20
267,Nicolas Deslauriers,MTL,L,45,446.4666667,2,1,1,0,3,37.5,41,4.88,1,0,100
302,Connor Brickley,NYR,L,8,69.66666667,1,2,1,1,3,100,14,7.14,0,4,0
343,Kevin Gravel,EDM,D,35,518.95,0,3,2,1,3,18.75,44,0,0,0,-
344,Anthony Bitetto,"MIN, NSH",D,31,361.75,0,3,1,2,3,25,27,0,0,0,-
399,Xavier Ouellet,MTL,D,19,323.2166667,0,3,1,2,3,37.5,32,0,0,0,-
429,Kurtis Gabriel,N.J,R,17,118.0666667,2,1,1,0,3,60,5,40,0,0,-
446,Brendan Gaunce,VAN,C,3,22.83333333,1,2,1,1,3,75,2,50,8,5,61.54
491,Gemel Smith,"BOS, DAL",C,17,142.25,2,1,1,0,3,75,14,14.29,2,2,50
506,Jaycob Megna,ANA,D,16,223.8333333,1,2,1,1,3,42.86,21,4.76,0,0,-
540,Ben Harpur,OTT,D,42,728.25,1,2,1,1,3,13.04,39,2.56,0,0,-
555,Steven Santini,N.J,D,26,408.7333333,1,2,0,2,3,25,25,4,0,0,-
556,Nic Petan,"TOR, WPG","C, L",15,111.5666667,1,2,1,1,3,75,12,8.33,10,5,66.67
640,Christian Dvorak,ARI,C,6,89.25,2,1,1,0,3,50,11,18.18,42,35,54.55
654,Clark Bishop,CAR,C,20,189.1333333,1,2,2,0,3,37.5,16,6.25,69,78,46.94
657,Anders Bjork,BOS,L,20,235.9833333,1,2,1,1,3,37.5,18,5.56,1,0,100
728,Dean Kukan,CBJ,D,16,206.3666667,0,3,1,2,3,75,9,0,0,0,-
756,Joey Anderson,N.J,R,23,287.8833333,2,1,1,0,3,42.86,31,6.45,3,3,50
780,Jordan Kyrou,STL,C,16,154.55,1,2,2,0,3,75,16,6.25,2,0,100
837,Oscar Fantenberg,"CGY, L.A",D,49,783.1666667,2,1,1,0,3,14.29,58,3.45,0,0,-
10,Matt Hendricks,MIN,C,22,197.6166667,0,2,2,0,2,50,20,0,41,35,53.95
83,Martin Hanzal,DAL,C,7,90.05,1,1,1,0,2,40,14,7.14,45,31,59.21
