,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,Faceoffs Won,Faceoffs Lost,Faceoffs %
371,Blake Pietila,N.J,L,13,155.6166667,0,1,1,0,1,100,11,0,14,10,58.33
383,Kyle Rau,MIN,C,6,42.08333333,0,1,0,1,1,100,6,0,3,1,75
414,Ryan Murphy,"MIN, N.J",D,3,33.5,0,1,1,0,1,50,1,0,0,0,-
434,Cameron Schilling,WPG,D,4,48.38333333,0,1,0,1,1,50,2,0,0,0,-
487,Dominic Toninato,COL,C,2,13.4,1,0,0,0,1,100,1,100,0,4,0
501,Jake Dotchin,ANA,D,20,236.1833333,0,1,1,0,1,16.67,7,0,0,0,-
510,Ashton Sautner,VAN,D,9,109.6833333,0,1,0,1,1,25,9,0,0,0,-
525,Luke Johnson,CHI,C,15,162.1833333,0,1,0,1,1,33.33,19,0,51,55,48.11
547,Ian McCoshen,FLA,D,18,240.2166667,1,0,0,0,1,12.5,12,8.33,0,0,-
553,Remi Elie,BUF,L,16,165.6,0,1,0,1,1,100,9,0,1,0,100
557,Dillon Heatherington,DAL,D,5,50.93333333,0,1,1,0,1,20,5,0,0,0,-
589,Nathan Walker,WSH,L,3,24.43333333,0,1,1,0,1,100,2,0,0,0,-
597,Daniel Carr,VGK,L,6,58.95,1,0,0,0,1,50,11,9.09,0,0,-
609,Haydn Fleury,CAR,D,14,175.6333333,0,1,1,0,1,8.33,10,0,0,0,-
618,Sonny Milano,CBJ,L,8,66.56666667,1,0,0,0,1,33.33,5,20,0,0,-
627,Nikita Scherbak,L.A,R,8,81.41666667,1,0,0,0,1,50,12,8.33,0,0,-
652,Michael Bunting,ARI,L,5,47.78333333,1,0,0,0,1,100,5,20,0,0,-
658,Rourke Chartier,S.J,C,13,122.2333333,1,0,0,0,1,50,19,5.26,34,51,40
689,Brendan Guhle,"ANA, BUF",D,7,114.0833333,0,1,1,0,1,50,15,0,0,0,-
709,Jeremy Lauzon,BOS,D,15,232.9333333,1,0,0,0,1,33.33,10,10,0,0,-
749,Tanner Fritz,NYI,C,4,42.86666667,0,1,1,0,1,100,3,0,7,5,58.33
752,Kalle Kossila,ANA,C,8,82.43333333,1,0,0,0,1,100,11,9.09,30,28,51.72
763,Libor Hajek,NYR,D,5,82.65,1,0,0,0,1,33.33,10,10,0,0,-
764,Carl Grundstrom,L.A,R,1,13.05,1,0,0,0,1,100,1,100,0,0,-
789,Nathan Bastian,N.J,R,4,50.25,1,0,0,0,1,100,6,16.67,3,0,100
790,Michael McLeod,N.J,C,8,102.9833333,0,1,0,1,1,50,4,0,40,31,56.34
791,Ben Gleason,DAL,D,4,59.51666667,0,1,1,0,1,50,2,0,0,0,-
794,Jacob MacDonald,FLA,D,2,24.1,1,0,0,0,1,100,1,100,0,0,-
807,Zack MacEwen,VAN,C,4,28.73333333,0,1,1,0,1,100,2,0,0,1,0
816,Jaret Anderson-Dolan,L.A,C,5,58.01666667,0,1,1,0,1,50,6,0,4,5,44.44
820,Kristian Vesalainen,WPG,L,5,34.2,0,1,0,1,1,100,1,0,0,0,-
824,Alex Formenton,OTT,L,9,105.0166667,1,0,0,0,1,33.33,16,6.25,1,2,33.33
847,Daniel Brickley,L.A,D,4,51.23333333,0,1,1,0,1,50,2,0,0,0,-
851,Evan Bouchard,EDM,D,7,86.48333333,1,0,0,0,1,50,10,10,0,0,-
5,Derek MacKenzie,FLA,C,1,2.716666667,0,0,0,0,0,-,0,-,2,1,66.67
16,Chris Thorburn,STL,R,1,1.866666667,0,0,0,0,0,-,0,-,0,0,-
43,Patrick Eaves,ANA,R,7,97.15,0,0,0,0,0,0,6,0,0,0,-
48,Lee Stempniak,BOS,R,1,7.766666667,0,0,0,0,0,-,0,-,0,0,-
50,Marc Methot,DAL,D,9,152.4666667,0,0,0,0,0,0,3,0,0,0,-
75,Adam Cracknell,ANA,R,2,20.86666667,0,0,0,0,0,-,3,0,0,0,-
104,Stephen Gionta,NYI,"C, R",5,43.91666667,0,0,0,0,0,-,4,0,20,17,54.05
114,Eric Gryba,N.J,D,10,152.95,0,0,0,0,0,0,11,0,0,0,-
134,Mark Letestu,CBJ,C,2,18.66666667,0,0,0,0,0,0,1,0,5,1,83.33
138,Justin Falk,OTT,D,10,129.25,0,0,0,0,0,0,7,0,0,0,-
141,Paul Carey,OTT,C,5,45.68333333,0,0,0,0,0,-,1,0,1,3,25
144,Eric Tangradi,N.J,L,1,15.41666667,0,0,0,0,0,-,3,0,0,0,-
153,Anthony Peluso,CGY,R,4,16.45,0,0,0,0,0,-,1,0,0,0,-
157,Brad Malone,EDM,C,12,106.8666667,0,0,0,0,0,-,11,0,22,27,44.9
199,Cody Goloubef,OTT,D,4,39.5,0,0,0,0,0,-,2,0,0,0,-
271,Corban Knight,PHI,C,9,94.05,0,0,0,0,0,-,9,0,25,21,54.35
288,Nate Prosser,MIN,D,15,153.3333333,0,0,0,0,0,0,10,0,0,0,-
295,Justin Holl,TOR,D,4,54.88333333,0,0,0,0,0,0,0,-,0,0,-
300,Mark Alt,COL,D,2,19.81666667,0,0,0,0,0,-,2,0,0,0,-
339,Sam Carrick,ANA,C,5,49.26666667,0,0,0,0,0,-,4,0,13,12,52
346,Zach Trotman,PIT,D,6,88.46666667,0,0,0,0,0,0,5,0,0,0,-
350,Erik Burgdoerfer,OTT,D,4,42.68333333,0,0,0,0,0,-,2,0,0,0,-
355,Cory Conacher,T.B,C,1,8.583333333,0,0,0,0,0,-,1,0,0,0,-
357,Colin Blackwell,NSH,C,6,58.43333333,0,0,0,0,0,-,5,0,13,16,44.83
378,Steven Fogarty,NYR,C,10,77.6,0,0,0,0,0,0,9,0,8,19,29.63
386,Reid Boucher,VAN,C,1,5.466666667,0,0,0,0,0,-,0,-,0,0,-
390,Adam Clendening,CBJ,D,4,42.61666667,0,0,0,0,0,0,3,0,0,0,-
436,Matt Tennyson,BUF,D,4,42.98333333,0,0,0,0,0,0,4,0,0,0,-
488,Trevor Carrick,CAR,D,1,11.48333333,0,0,0,0,0,-,0,-,0,0,-
493,Kevin Roy,ANA,L,3,39.13333333,0,0,0,0,0,-,2,0,0,0,-
497,Danny O'Regan,BUF,C,1,11.93333333,0,0,0,0,0,-,2,0,1,0,100
502,Joseph Blandisi,"ANA, PIT",C,4,38.73333333,0,0,0,0,0,0,3,0,0,0,-
509,Kurtis MacDermid,L.A,D,2,25.66666667,0,0,0,0,0,0,1,0,0,0,-
511,Andrej Sustr,ANA,D,5,60.2,0,0,0,0,0,0,6,0,0,0,-
524,Connor Clifton,BOS,D,9,157,0,0,0,0,0,0,6,0,0,0,-
527,Josh Brown,FLA,D,23,289.2166667,0,0,0,0,0,0,13,0,0,0,-
528,Tyrell Goulbourne,PHI,L,2,14.81666667,0,0,0,0,0,-,3,0,0,0,-
544,Marko Dano,COL,C,8,55.06666667,0,0,0,0,0,0,3,0,0,5,0
552,Laurent Dauphin,ARI,C,1,12.31666667,0,0,0,0,0,-,2,0,0,1,0
559,Justin Bailey,PHI,R,6,34.08333333,0,0,0,0,0,0,2,0,0,0,-
582,Kerby Rychel,CGY,L,2,18.35,0,0,0,0,0,0,1,0,0,1,0
588,Dakota Mermis,ARI,D,1,11.33333333,0,0,0,0,0,0,0,-,0,0,-
591,Joel Hanley,DAL,D,16,219.0833333,0,0,0,0,0,0,9,0,0,0,-
631,John Quenneville,N.J,C,17,188.8,0,0,0,0,0,0,12,0,4,6,40
637,Nicolas Aube-Kubel,PHI,R,9,50.3,0,0,0,0,0,0,2,0,0,0,-
644,Louie Belpedio,MIN,D,2,26.26666667,0,0,0,0,0,0,0,-,0,0,-
647,Nelson Nogier,WPG,D,1,10.1,0,0,0,0,0,-,1,0,0,0,-
656,Anton Lindholm,COL,D,2,14.35,0,0,0,0,0,-,0,-,0,0,-
663,Jacob Middleton,S.J,D,1,5.033333333,0,0,0,0,0,-,0,-,0,0,-
664,Joe Hicketts,DET,D,8,136.75,0,0,0,0,0,0,9,0,0,0,-
667,Jack Rodewald,OTT,R,6,42.36666667,0,0,0,0,0,-,2,0,0,0,-
670,Nikita Soshnikov,STL,R,5,35.83333333,0,0,0,0,0,0,1,0,0,0,-
681,Anthony Richard,NSH,C,1,7.366666667,0,0,0,0,0,-,0,-,0,0,-
684,Jakub Zboril,BOS,D,2,21.86666667,0,0,0,0,0,-,1,0,0,0,-
695,Cooper Marody,EDM,C,6,41.46666667,0,0,0,0,0,-,6,0,9,17,34.62
705,Nicolas Roy,CAR,C,6,41.7,0,0,0,0,0,-,1,0,21,18,53.85
707,Guillaume Brisebois,VAN,D,2,16.4,0,0,0,0,0,-,1,0,0,0,-
713,Kyle Capobianco,ARI,D,2,32.15,0,0,0,0,0,-,1,0,0,0,-
715,Filip Chlapik,OTT,C,3,39.03333333,0,0,0,0,0,0,5,0,6,4,60
721,Gabriel Carlsson,CBJ,D,1,9.35,0,0,0,0,0,-,1,0,0,0,-
731,Kevin Stenlund,CBJ,C,4,43.85,0,0,0,0,0,-,3,0,3,3,50
744,Matt Roy,L.A,D,11,182.6833333,0,0,0,0,0,0,15,0,0,0,-
746,Kole Sherwood,CBJ,R,2,18.45,0,0,0,0,0,-,2,0,0,0,-
748,Ryan Lomberg,CGY,L,4,27.93333333,0,0,0,0,0,-,1,0,0,0,-
750,Nick Lappin,N.J,R,9,125.1666667,0,0,0,0,0,0,11,0,4,1,80
760,Ryan Lindgren,NYR,D,3,41.16666667,0,0,0,0,0,0,3,0,0,0,-
762,Brandon Gignac,N.J,C,1,9.066666667,0,0,0,0,0,-,1,0,0,0,-
773,Timothy Gettinger,NYR,L,4,30.08333333,0,0,0,0,0,0,2,0,0,0,-
774,Trent Frederic,BOS,C,11,103.2,0,0,0,0,0,0,13,0,29,24,54.72
775,Logan Brown,OTT,C,2,21.03333333,0,0,0,0,0,-,2,0,2,6,25
781,Riley Stillman,FLA,D,1,11.36666667,0,0,0,0,0,0,1,0,0,0,-
785,Jake Bean,CAR,D,2,16.91666667,0,0,0,0,0,-,1,0,0,0,-
796,Anthony Greco,FLA,R,1,9.5,0,0,0,0,0,-,2,0,0,0,-
799,Patrick Russell,EDM,R,6,52.73333333,0,0,0,0,0,-,6,0,0,0,-
801,Janne Kuokkanen,CAR,L,7,76.43333333,0,0,0,0,0,0,6,0,0,0,-
802,Maxim Mamin,FLA,C,7,51.43333333,0,0,0,0,0,-,8,0,0,1,0
803,Dylan Gambrell,S.J,C,6,49.13333333,0,0,0,0,0,0,4,0,13,15,46.43
810,Vinni Lettieri,NYR,C,18,155.4666667,0,0,0,0,0,0,21,0,6,4,60
811,Joseph Gambardella,EDM,C,4,23.26666667,0,0,0,0,0,-,0,-,0,0,-
818,Urho Vaakanainen,BOS,D,2,18.2,0,0,0,0,0,-,2,0,0,0,-
831,Justin Kloos,ANA,C,1,7.066666667,0,0,0,0,0,-,2,0,0,0,-
834,Jakub Jerabek,STL,D,1,7.866666667,0,0,0,0,0,-,1,0,0,0,-
839,Libor Sulak,DET,D,6,116.2833333,0,0,0,0,0,0,7,0,0,0,-
845,Eric Robinson,CBJ,L,11,139.1833333,0,0,0,0,0,0,15,0,0,0,-
846,Joel L'Esperance,DAL,C,9,106.6,0,0,0,0,0,0,10,0,21,18,53.85
848,Sheldon Rempal,L.A,R,7,61.16666667,0,0,0,0,0,0,3,0,0,0,-
865,Jacob Nilsson,CHI,C,2,15.71666667,0,0,0,0,0,-,0,-,3,5,37.5
868,Logan O'Connor,COL,R,5,34.06666667,0,0,0,0,0,-,1,0,0,3,0
